id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-10-02 21:04:35,"{""short_code"":""kwIdiq"",""original_url"":""https://relay.cloud/rapid/journey/1""}"
2,2,139,created,2026-02-20 13:21:03,"{""short_code"":""Rli3tH"",""original_url"":""https://opswise.net/harbor/beacon/2""}"
3,3,305,created,2025-12-17 05:15:47,"{""short_code"":""5C65a4"",""original_url"":""https://hackstack.io/amber/quartz/3""}"
4,4,117,created,2025-03-28 16:39:01,"{""short_code"":""yFFl4h"",""original_url"":""https://example.com/young/harvest/4""}"
5,5,136,created,2025-02-07 17:57:57,"{""short_code"":""lbY9rg"",""original_url"":""https://relay.cloud/cobalt/river/5""}"
6,6,285,created,2025-03-13 03:14:22,"{""short_code"":""PV2LPB"",""original_url"":""https://opswise.net/proud/pioneer/6""}"
7,7,145,created,2025-05-23 08:50:03,"{""short_code"":""SinkaA"",""original_url"":""https://seeded.app/calm/anchor/7""}"
8,8,128,created,2025-05-28 03:58:38,"{""short_code"":""DfO0pi"",""original_url"":""https://seeded.app/jade/kernel/8""}"
9,9,47,created,2025-01-08 15:28:08,"{""short_code"":""HvERoh"",""original_url"":""https://relay.cloud/jade/harvest/9""}"
10,10,138,created,2025-11-13 13:29:37,"{""short_code"":""432wbo"",""original_url"":""https://acme.dev/vivid/anchor/10""}"
11,11,365,created,2025-05-07 06:01:03,"{""short_code"":""Ge8jPe"",""original_url"":""https://example.com/mellow/window/11""}"
12,12,358,created,2025-03-30 23:58:23,"{""short_code"":""iIWaip"",""original_url"":""https://opswise.net/rapid/engine/12""}"
13,13,287,created,2025-09-13 01:43:15,"{""short_code"":""gYOcsn"",""original_url"":""https://acme.dev/vivid/journey/13""}"
14,14,196,created,2026-02-10 18:34:19,"{""short_code"":""K1W1EO"",""original_url"":""https://relay.cloud/amber/journey/14""}"
15,15,98,created,2025-11-21 20:26:46,"{""short_code"":""Dt3ZZY"",""original_url"":""https://relay.cloud/forest/window/15""}"
16,16,222,created,2025-10-27 13:30:30,"{""short_code"":""MoOtTm"",""original_url"":""https://acme.dev/brisk/field/16""}"
17,17,350,created,2026-01-18 07:43:06,"{""short_code"":""24NNvH"",""original_url"":""https://opswise.net/gold/orbit/17""}"
18,18,252,created,2025-01-20 01:45:17,"{""short_code"":""FkKdVn"",""original_url"":""https://relay.cloud/young/island/18""}"
19,19,64,created,2025-11-22 09:23:02,"{""short_code"":""LT9kjC"",""original_url"":""https://opswise.net/cobalt/island/19""}"
20,20,193,created,2025-11-08 15:35:37,"{""short_code"":""EBwn3C"",""original_url"":""https://hackstack.io/ivory/pioneer/20""}"
21,21,150,created,2025-10-03 23:25:09,"{""short_code"":""dXDNyW"",""original_url"":""https://acme.dev/calm/delta/21""}"
22,22,35,created,2025-01-17 07:53:43,"{""short_code"":""25gBo1"",""original_url"":""https://acme.dev/brisk/beacon/22""}"
23,23,251,created,2025-10-13 07:24:37,"{""short_code"":""yESBBy"",""original_url"":""https://seeded.app/jade/engine/23""}"
24,24,66,created,2025-11-17 18:02:21,"{""short_code"":""yK3FNh"",""original_url"":""https://acme.dev/warm/garden/24""}"
25,25,343,created,2025-05-23 22:59:36,"{""short_code"":""lcpCK0"",""original_url"":""https://example.com/jade/signal/25""}"
26,26,18,created,2025-01-22 20:13:06,"{""short_code"":""athtVE"",""original_url"":""https://opswise.net/urban/zenith/26""}"
27,27,379,created,2025-02-24 02:12:38,"{""short_code"":""UK5u4G"",""original_url"":""https://example.com/young/network/27""}"
28,28,42,created,2025-05-22 12:21:54,"{""short_code"":""LxEE2a"",""original_url"":""https://opswise.net/warm/kernel/28""}"
29,29,46,created,2025-08-07 23:26:14,"{""short_code"":""dVq2W1"",""original_url"":""https://relay.cloud/silver/anchor/29""}"
30,30,191,created,2025-02-15 04:11:10,"{""short_code"":""oTZIl1"",""original_url"":""https://acme.dev/cobalt/window/30""}"
31,31,317,created,2025-03-12 08:37:32,"{""short_code"":""jqkpsR"",""original_url"":""https://example.com/cobalt/canyon/31""}"
32,32,39,created,2025-10-29 03:25:58,"{""short_code"":""uhlivs"",""original_url"":""https://acme.dev/young/journey/32""}"
33,33,381,created,2025-06-17 02:35:18,"{""short_code"":""GFFw7D"",""original_url"":""https://acme.dev/tidy/quartz/33""}"
34,34,54,created,2025-02-28 11:28:38,"{""short_code"":""s3vjPs"",""original_url"":""https://acme.dev/calm/signal/34""}"
35,35,277,created,2025-03-31 06:57:12,"{""short_code"":""HkJqk0"",""original_url"":""https://seeded.app/urban/network/35""}"
36,36,219,created,2025-02-20 19:01:25,"{""short_code"":""Bn9mSM"",""original_url"":""https://relay.cloud/mellow/zenith/36""}"
37,37,122,created,2025-06-04 20:30:18,"{""short_code"":""TyiIfJ"",""original_url"":""https://relay.cloud/navy/zenith/37""}"
38,38,256,created,2025-02-08 18:21:48,"{""short_code"":""hXEaLU"",""original_url"":""https://relay.cloud/harbor/trail/38""}"
39,39,37,created,2025-04-07 03:40:28,"{""short_code"":""A2z9hv"",""original_url"":""https://hackstack.io/opal/kernel/39""}"
40,40,375,created,2025-02-09 06:12:48,"{""short_code"":""wJYCig"",""original_url"":""https://opswise.net/ivory/signal/40""}"
41,41,104,created,2025-04-18 18:54:51,"{""short_code"":""gDzntI"",""original_url"":""https://seeded.app/proud/window/41""}"
42,42,58,created,2025-03-10 09:34:17,"{""short_code"":""nBOye3"",""original_url"":""https://seeded.app/quiet/kernel/42""}"
43,43,355,created,2025-11-19 03:41:38,"{""short_code"":""UaBwpm"",""original_url"":""https://example.com/warm/garden/43""}"
44,44,313,created,2025-01-18 23:52:41,"{""short_code"":""OZR6f3"",""original_url"":""https://seeded.app/rapid/yard/44""}"
45,45,73,created,2025-04-01 00:11:05,"{""short_code"":""IjTIh8"",""original_url"":""https://example.com/keen/quartz/45""}"
46,46,54,created,2025-05-30 07:19:53,"{""short_code"":""TSvoCq"",""original_url"":""https://acme.dev/harbor/kernel/46""}"
47,47,107,created,2025-04-05 15:10:09,"{""short_code"":""XM672n"",""original_url"":""https://hackstack.io/ember/network/47""}"
48,48,286,created,2025-01-06 11:28:19,"{""short_code"":""S2OKtP"",""original_url"":""https://seeded.app/cobalt/trail/48""}"
49,49,350,created,2025-01-21 21:42:01,"{""short_code"":""eaja4r"",""original_url"":""https://opswise.net/navy/delta/49""}"
50,50,135,created,2026-02-04 04:28:01,"{""short_code"":""GB0BPh"",""original_url"":""https://hackstack.io/amber/network/50""}"
51,51,84,created,2025-12-15 00:32:38,"{""short_code"":""HMYeI3"",""original_url"":""https://opswise.net/ivory/window/51""}"
52,52,315,created,2025-02-12 00:46:28,"{""short_code"":""MujCju"",""original_url"":""https://relay.cloud/harbor/network/52""}"
53,53,220,created,2025-09-29 02:10:49,"{""short_code"":""svRNGa"",""original_url"":""https://opswise.net/silver/river/53""}"
54,54,29,created,2025-08-10 05:04:35,"{""short_code"":""XBPb6b"",""original_url"":""https://hackstack.io/forest/journey/54""}"
55,55,230,created,2025-09-09 11:57:26,"{""short_code"":""SzNudA"",""original_url"":""https://seeded.app/lively/meadow/55""}"
56,56,251,created,2026-02-10 02:11:47,"{""short_code"":""o0BqXw"",""original_url"":""https://hackstack.io/warm/delta/56""}"
57,57,1,created,2025-04-22 18:07:27,"{""short_code"":""pRPNuJ"",""original_url"":""https://acme.dev/cobalt/kernel/57""}"
58,58,121,created,2026-01-27 07:29:22,"{""short_code"":""MfAg1d"",""original_url"":""https://opswise.net/quiet/lagoon/58""}"
59,59,74,created,2025-01-20 06:51:22,"{""short_code"":""V7sjvZ"",""original_url"":""https://hackstack.io/proud/delta/59""}"
60,60,29,created,2025-02-08 03:31:52,"{""short_code"":""Hg68Rr"",""original_url"":""https://seeded.app/tidy/canyon/60""}"
61,61,362,created,2026-02-16 12:54:50,"{""short_code"":""buzBCh"",""original_url"":""https://seeded.app/dawn/lagoon/61""}"
62,62,263,created,2025-11-06 06:45:18,"{""short_code"":""K8NezB"",""original_url"":""https://example.com/brisk/delta/62""}"
63,63,16,created,2025-07-17 13:04:11,"{""short_code"":""BH4aZz"",""original_url"":""https://example.com/young/lagoon/63""}"
64,64,124,created,2025-07-04 20:52:19,"{""short_code"":""IjUAAL"",""original_url"":""https://acme.dev/calm/engine/64""}"
65,65,182,created,2025-08-02 07:08:22,"{""short_code"":""drFj34"",""original_url"":""https://acme.dev/navy/signal/65""}"
66,66,159,created,2025-04-28 11:02:09,"{""short_code"":""8D4JGw"",""original_url"":""https://relay.cloud/ivory/engine/66""}"
67,67,284,created,2025-08-22 17:06:55,"{""short_code"":""FbMMBx"",""original_url"":""https://hackstack.io/rapid/river/67""}"
68,68,100,created,2025-04-03 01:52:57,"{""short_code"":""TiTj8v"",""original_url"":""https://seeded.app/young/quartz/68""}"
69,69,231,created,2025-09-11 19:02:54,"{""short_code"":""s5XaWx"",""original_url"":""https://opswise.net/mellow/island/69""}"
70,70,49,created,2025-10-21 12:13:14,"{""short_code"":""w4YENX"",""original_url"":""https://opswise.net/tidy/anchor/70""}"
71,71,337,created,2025-01-26 09:29:00,"{""short_code"":""3bZJlc"",""original_url"":""https://opswise.net/clear/valley/71""}"
72,72,32,created,2025-06-29 00:15:32,"{""short_code"":""4P23S6"",""original_url"":""https://seeded.app/lively/delta/72""}"
73,73,53,created,2025-06-20 11:56:43,"{""short_code"":""1QazlT"",""original_url"":""https://acme.dev/silver/trail/73""}"
74,74,12,created,2025-08-18 05:47:57,"{""short_code"":""xg5j4B"",""original_url"":""https://seeded.app/opal/journey/74""}"
75,75,232,created,2025-04-25 06:11:20,"{""short_code"":""g1Ty60"",""original_url"":""https://opswise.net/warm/delta/75""}"
76,76,44,created,2025-07-18 02:53:54,"{""short_code"":""sTNUmR"",""original_url"":""https://acme.dev/tidy/anchor/76""}"
77,77,267,created,2025-01-19 18:41:13,"{""short_code"":""IX2Yi1"",""original_url"":""https://hackstack.io/jade/engine/77""}"
78,78,169,created,2025-12-02 00:50:31,"{""short_code"":""TTTz1k"",""original_url"":""https://seeded.app/navy/valley/78""}"
79,79,176,created,2025-10-30 05:38:58,"{""short_code"":""aaxumD"",""original_url"":""https://opswise.net/gold/trail/79""}"
80,80,361,created,2025-08-19 13:16:25,"{""short_code"":""bpsufy"",""original_url"":""https://relay.cloud/silver/beacon/80""}"
81,81,311,created,2025-11-02 07:15:25,"{""short_code"":""edRGpa"",""original_url"":""https://relay.cloud/vivid/quartz/81""}"
82,82,300,created,2025-02-22 11:19:48,"{""short_code"":""fTjkQ8"",""original_url"":""https://acme.dev/gold/engine/82""}"
83,83,319,created,2025-06-18 15:30:09,"{""short_code"":""u50ukO"",""original_url"":""https://acme.dev/warm/valley/83""}"
84,84,38,created,2025-01-22 18:43:50,"{""short_code"":""HDDeYc"",""original_url"":""https://example.com/quiet/kernel/84""}"
